Year,Life expectancy at birth in the United Kingdom (in years)
1820,40.53
1825,40.46
1830,41.52
1835,40.85
1840,40.55
1845,41.8
1850,39.59
1855,40.66
1860,41.8
1865,41.18
1870,41.53
1875,42.39
1880,43.89
1885,45.32
1890,45.78
1895,45.75
1900,46.81
1905,49.48
1910,52.07
1915,52.02
1920,48.89
1925,58.31
1930,59.46
1935,60.97
1940,62.34
1945,64.01
1950,67.66
1955,69.41
1960,70.61
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1955,70.7
1956,71.2
1957,71.7
1958,72.2
1959,72.7
1960,
